node,community,total_degree,weighted_total_degree,total_degree_in_group,weighted_total_degree_in_group,total_degree_between,weighted_total_degree_between,in_group_ratio,internal_strength_fraction,k_core_all,s_core_all,undirected_reach_2,total_degree_normalized,ego_density,density_clustering_coefficient,barrat_weighted_clustering,modularity_vitality_hub,modularity_vitality_bridge,undirected_reach_2_normalized
U,7,12,66.0,10,38.0,2,28.0,0.8333333333333334,0.5757575757575758,10,26,126,0.00022583404619332763,0.8205128205128205,0.6666666666666666,0.90633608815427,0.0,0.0005232750433916133,0.004491017964071856
SovereigntyOverTaiwan,7,5,10.0,3,6.0,2,4.0,0.6,0.6,5,7,103,3.421727972626176e-5,1.0,0.6666666666666666,1.0,0.0,6.36213737559288e-5,0.003671228970630168
MilitaryProfessionalism,7,5,10.0,4,8.0,1,2.0,0.8,0.8,5,7,105,3.421727972626176e-5,1.0,0.6666666666666666,1.0,6.665773591429947e-5,0.0,0.0037425149700598802
PhilippineArmedForces,9,3,14.0,1,10.0,2,4.0,0.3333333333333333,0.7142857142857143,3,9,119,4.790419161676647e-5,1.0,0.5,1.0,0.0,5.345554619495818e-5,0.0042415169660678645
IndoPacificStrong,7,5,34.0,4,24.0,1,10.0,0.8,0.7058823529411765,5,18,110,0.00011633875106929,1.0,0.6666666666666666,1.0,5.075170455781652e-6,0.0,0.00392072996863416
USAandPH,3,8,60.0,5,38.0,3,22.0,0.625,0.6333333333333333,7,24,122,0.00020530367835757058,0.9166666666666666,0.6944444444444444,0.9714285714285714,0.001642279526099355,0.0,0.004348445965212432
PartnershipsMatter,3,8,60.0,5,38.0,3,22.0,0.625,0.6333333333333333,7,24,122,0.00020530367835757058,0.9166666666666666,0.6944444444444444,0.9714285714285714,0.001642279526099355,0.0,0.004348445965212432
SinkingReputationNoShips,3,5,10.0,3,6.0,2,4.0,0.6,0.6,5,7,119,3.421727972626176e-5,1.0,0.6666666666666666,1.0,0.0002441563535670044,0.0,0.0042415169660678645
USSAshlands,3,7,14.0,4,8.0,3,6.0,0.5714285714285714,0.5714285714285714,7,9,122,4.790419161676647e-5,1.0,0.75,1.0,0.00031020073718640573,0.0,0.004348445965212432
SCS,8,4,8.0,4,8.0,0,0.0,1.0,1.0,4,5,9,2.737382378100941e-5,1.0,0.6,1.0,0.0005291039451095214,0.0,0.00032078699743370403
BalikantSafeFromHIMARS,7,1,2.0,1,2.0,0,0.0,1.0,1.0,1,1,70,6.843455945252353e-6,1.0,0.0,0.0,4.118389174989634e-5,0.0,0.00249500998003992
SinkExNarratives,7,6,12.0,6,12.0,0,0.0,1.0,1.0,6,8,88,4.1060735671514114e-5,1.0,0.7142857142857143,1.0,0.00024771132407541696,0.0,0.003136583974907328
SinkExFail,7,5,10.0,5,10.0,0,0.0,1.0,1.0,5,7,86,3.421727972626176e-5,1.0,0.6666666666666666,1.0,0.00020632468107500967,0.0,0.003065297975477616
SinkExIsASuccess,7,6,12.0,6,12.0,0,0.0,1.0,1.0,6,8,86,4.1060735671514114e-5,1.0,0.7142857142857143,1.0,0.00024771132407541696,0.0,0.003065297975477616
OperationBalikatan,7,6,12.0,6,12.0,0,0.0,1.0,1.0,6,8,86,4.1060735671514114e-5,1.0,0.7142857142857143,1.0,0.00024771132407541696,0.0,0.003065297975477616
BalikantTraining,3,3,6.0,3,6.0,0,0.0,1.0,1.0,3,3,6,2.0530367835757057e-5,1.0,0.5,1.0,0.0003566837754296337,0.0,0.000213857998289136
JointCapabilities,3,3,6.0,3,6.0,0,0.0,1.0,1.0,3,3,6,2.0530367835757057e-5,1.0,0.5,1.0,0.0003566837754296337,0.0,0.000213857998289136
FutureDefenseCollaboration,3,3,6.0,3,6.0,0,0.0,1.0,1.0,3,3,6,2.0530367835757057e-5,1.0,0.5,1.0,0.0003566837754296337,0.0,0.000213857998289136
