node,community,total_degree,weighted_total_degree,total_degree_in_group,weighted_total_degree_in_group,total_degree_between,weighted_total_degree_between,in_group_ratio,internal_strength_fraction,k_core_all,s_core_all,undirected_reach_2,total_degree_normalized,ego_density,density_clustering_coefficient,barrat_weighted_clustering,modularity_vitality_hub,modularity_vitality_bridge,undirected_reach_2_normalized
KordilyeraAgkaykaysa,7,6,362.0,6,362.0,0,0.0,1.0,1.0,6,88,14,0.0022356029025783542,1.0,0.7142857142857143,1.0,0.009388898000373347,0.0,0.0002144607843137255
UnitedNorth2022,7,7,430.0,7,430.0,0,0.0,1.0,1.0,6,89,14,0.002655550409140034,0.8928571428571429,0.6428571428571429,0.9434108527131783,0.01128523779441204,0.0,0.0002144607843137255
LetOurRiversFlowFree,7,2,18.0,2,18.0,0,0.0,1.0,1.0,2,22,14,0.00011116257526632701,1.0,0.3333333333333333,1.0,0.0004399574946949425,0.0,0.0002144607843137255
FOIP,1,16,129.0,3,101.0,13,28.0,0.1875,0.7829457364341085,14,60,139,0.0007966651227420102,0.8088235294117647,0.6911764705882353,0.5276485788113695,0.0,0.0016098553269224825,0.0021292892156862743
training,4,18,148.0,13,109.0,5,39.0,0.7222222222222222,0.7364864864864865,18,68,151,0.0009140033966342443,1.0,0.8947368421052632,1.0,0.0006210137857725062,0.0,0.0023131127450980392
mondaymotivation,9,1,2.0,1,2.0,0,0.0,1.0,1.0,1,2,29,1.2351397251814112e-5,1.0,0.0,0.0,5.7615175615977066e-5,0.0,0.00044424019607843137
Balikatan22,2,12,567.0,9,414.0,3,153.0,0.75,0.7301587301587301,6,87,206,0.0035016211208893006,0.46153846153846156,0.3076923076923077,0.5424082090748757,0.0,0.003555481094423163,0.003155637254901961
ExerciseBalikatan,4,6,123.0,3,117.0,3,6.0,0.5,0.9512195121951219,4,62,166,0.0007596109309865679,0.6190476190476191,0.3333333333333333,0.4894308943089431,0.002535970096756879,0.0,0.002542892156862745
USSMiguelKeith,3,1,53.0,1,53.0,0,0.0,1.0,1.0,1,50,2,0.00032731202717307397,1.0,0.0,0.0,0.0015808934625656246,0.0,3.0637254901960784e-5
SideBySideAt75,2,5,43.0,4,34.0,1,9.0,0.8,0.7906976744186046,3,27,167,0.0002655550409140034,0.6666666666666666,0.3333333333333333,0.5465116279069767,0.0,0.00010870087988168464,0.0025582107843137255
ModernandMultiCapablePHNavy,4,5,53.0,3,41.0,2,12.0,0.6,0.7735849056603774,4,43,87,0.00032731202717307397,0.7333333333333333,0.4,0.7264150943396226,0.00037078448490013294,0.0,0.0013327205882352942
Pilots,4,18,126.0,13,91.0,5,35.0,0.7222222222222222,0.7222222222222222,18,67,151,0.0007781380268642891,1.0,0.8947368421052632,1.0,0.00039669115627027907,0.0,0.0023131127450980392
Philippine,1,12,111.0,4,100.0,8,11.0,0.3333333333333333,0.9009009009009009,5,59,152,0.0006855025474756832,0.38461538461538464,0.23076923076923078,0.2588042588042588,0.0,0.0007045584352569634,0.0023284313725490196
AFP,4,3,117.0,3,117.0,0,0.0,1.0,1.0,3,61,40,0.0007225567392311255,1.0,0.5,1.0,0.0028131727741497192,0.0,0.0006127450980392157
Deterrence,2,9,140.0,9,140.0,0,0.0,1.0,1.0,6,65,82,0.0008645978076269878,0.7555555555555555,0.5555555555555556,0.7785714285714286,0.0017869394807622507,0.0,0.0012561274509803922
PatriotMissileSystem,8,2,202.0,2,202.0,0,0.0,1.0,1.0,2,77,30,0.0012474911224332253,1.0,0.3333333333333333,1.0,0.005649026175303273,0.0,0.00045955882352941176
SeniorLeadersSeminar2022,6,5,35.0,4,28.0,1,7.0,0.8,0.8,5,40,132,0.00021614945190674695,1.0,0.6666666666666666,1.0,0.0002921033583513921,0.0,0.002022058823529412
協力,6,10,315.0,9,268.0,1,47.0,0.9,0.8507936507936508,7,85,132,0.0019453450671607225,0.7272727272727273,0.5454545454545454,0.7513227513227513,0.004133705183841374,0.0,0.002022058823529412
sls22,6,5,35.0,4,28.0,1,7.0,0.8,0.8,5,40,132,0.00021614945190674695,1.0,0.6666666666666666,1.0,0.0002921033583513921,0.0,0.002022058823529412
VojskaCrneGore,2,3,6.0,3,6.0,0,0.0,1.0,1.0,3,7,63,3.7054191755442337e-5,1.0,0.5,1.0,7.444253641830656e-5,0.0,0.0009650735294117647
USSJohnPMurtha,1,3,129.0,3,129.0,0,0.0,1.0,1.0,3,71,132,0.0007966651227420102,1.0,0.5,1.0,0.0,0.00012621040564042563,0.002022058823529412
